clientId,personaId
1,2
2,5
3,4
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,4
12,2
13,6
14,2
15,1
16,1
17,2
18,2
19,1
20,3
21,4
22,1
23,1
24,1
25,2
26,6
27,3
28,4
29,5
30,6
31,3
32,1
33,1
34,1
35,1
36,2
37,3
38,2
39,6
40,1
41,4
42,3
43,1
44,3
45,3
46,4
47,1
48,2
49,6
50,2
51,1
52,2
53,4
54,1
55,4
56,1
57,2
58,2
59,6
60,5
61,4
62,1
63,1
64,1
65,4
66,1
67,1
68,1
69,4
70,2
71,5
72,6
73,5
74,5
75,2
76,1
77,3
78,2
79,6
80,1
81,3
82,6
83,5
84,1
85,2
86,4
87,6
88,4
89,1
90,1
91,3
92,1
93,6
94,3
95,1
96,4
97,6
98,5
99,2
100,2
101,2
102,3
103,1
104,5
105,2
106,2
107,1
108,2
109,3
110,2
111,2
112,2
113,4
114,5
115,1
116,5
117,6
118,3
119,2
120,1
121,2
122,1
123,3
124,2
125,5
126,1
127,4
128,4
129,3
130,3
131,3
132,3
133,5
134,3
135,2
136,4
137,4
138,1
139,2
140,5
141,1
142,5
143,1
144,3
145,3
146,1
147,2
148,1
149,3
150,3
151,5
152,1
153,6
154,6
155,5
156,3
157,2
158,2
159,2
160,2
161,3
162,5
163,2
164,3
165,1
166,1
167,2
168,3
169,1
170,2
171,5
172,3
173,1
174,6
175,3
176,5
177,1
178,3
179,1
180,5
181,2
182,2
183,2
184,6
185,1
186,6
187,1
188,4
189,3
190,1
191,6
192,6
193,2
194,4
195,2
196,5
197,2
198,5
199,2
200,4
201,3
202,1
203,1
204,1
205,5
206,3
207,1
208,5
209,3
210,6
211,1
212,2
213,3
214,6
215,1
216,2
217,2
218,2
219,1
220,1
221,4
222,2
223,1
224,1
225,2
226,5
227,4
228,2
229,5
230,1
231,1
232,5
233,3
234,1
235,1
236,2
237,3
238,2
239,3
240,2
241,3
242,2
243,3
244,1
245,1
246,5
247,6
248,1
249,2
250,4
251,5
252,6
253,1
254,3
255,2
256,1
257,3
258,3
259,4
260,1
261,3
262,1
263,2
264,1
265,1
266,5
267,5
268,1
269,1
270,1
271,5
272,1
273,5
274,3
275,3
276,1
277,2
278,5
279,2
280,2
281,2
282,2
283,6
284,3
285,3
286,1
287,5
288,4
289,1
290,1
291,4
292,1
293,4
294,4
295,3
296,5
297,6
298,1
299,5
300,5
301,3
302,3
303,5
304,2
305,2
306,6
307,1
308,1
309,2
310,1
311,2
312,2
313,1
314,2
315,1
316,3
317,5
318,3
319,2
320,2
321,2
322,1
323,6
324,1
325,2
326,4
327,5
328,3
329,2
330,3
331,3
332,6
333,2
334,5
335,4
336,1
337,1
338,6
339,4
340,3
341,2
342,1
343,4
344,2
345,1
346,1
347,2
348,2
349,2
350,2
351,1
352,5
353,3
354,1
355,1
356,6
357,1
358,1
359,1
360,5
361,2
362,2
363,4
364,1
365,2
366,2
367,6
368,5
369,5
370,1
371,5
372,1
373,1
374,5
375,6
376,5
377,2
378,1
379,5
380,1
381,5
382,2
383,3
384,1
385,3
386,1
387,5
388,6
389,1
390,1
391,5
392,2
393,2
394,2
395,2
396,2
397,3
398,4
399,5
400,1
401,1
402,1
403,2
404,5
405,3
406,5
407,1
408,1
409,2
410,2
411,3
412,4
413,2
414,3
415,2
416,4
417,6
418,1
419,1
420,5
421,1
422,6
423,1
424,5
425,3
426,3
427,1
428,2
429,2
430,6
431,2
432,2
433,2
434,1
435,2
436,2
437,2
438,1
439,1
440,3
441,5
442,1
443,1
444,6
445,2
446,2
447,5
448,5
449,3
450,4
451,6
452,2
453,6
454,4
455,2
456,4
457,6
458,3
459,5
460,4
461,4
462,4
463,2
464,2
465,2
466,2
467,5
468,1
469,2
470,2
471,6
472,5
473,1
474,1
475,2
476,6
477,4
478,5
479,5
480,1
481,1
482,2
483,5
484,3
485,4
486,1
487,1
488,4
489,1
490,1
491,2
492,5
493,1
494,2
495,1
496,2
497,1
498,1
499,1
500,5
501,5
502,2
503,4
504,2
505,6
506,1
507,2
508,1
509,2
510,2
511,1
512,1
513,1
514,5
515,5
516,6
517,5
518,3
519,2
520,4
521,4
522,1
523,2
524,2
525,3
526,1
527,2
528,5
529,6
530,5
531,4
532,1
533,6
534,4
535,2
536,2
537,1
538,5
539,3
540,2
541,5
542,1
543,6
544,3
545,5
546,2
547,1
548,5
549,2
550,3
551,1
552,2
553,1
554,1
555,2
556,2
557,2
558,3
559,4
560,6
561,4
562,4
563,2
564,2
565,1
566,2
567,6
568,2
569,6
570,4
571,1
572,3
573,2
574,6
575,1
576,2
577,5
578,3
579,6
580,1
581,4
582,4
583,5
584,2
585,3
586,3
587,6
588,1
589,4
590,2
591,3
592,2
593,2
594,3
595,1
596,4
597,4
598,1
599,2
600,4
601,2
602,6
603,3
604,1
605,1
606,1
607,1
608,1
609,3
610,2
611,4
612,4
613,5
614,1
615,3
616,1
617,2
618,1
619,2
620,3
621,2
622,2
623,1
624,3
625,5
626,1
627,5
628,6
629,1
630,1
631,5
632,1
633,4
634,3
635,1
636,2
637,2
638,3
639,2
640,3
641,2
642,1
643,3
644,2
645,5
646,1
647,1
648,6
649,5
650,2
651,5
652,2
653,2
654,1
655,1
656,5
657,1
658,1
659,4
660,2
661,1
662,2
663,6
664,1
665,5
666,3
667,1
668,2
669,5
670,3
671,5
672,4
673,3
674,4
675,2
676,4
677,3
678,1
679,3
680,1
681,5
682,1
683,1
684,6
685,2
686,4
687,6
688,5
689,4
690,2
691,1
692,1
693,1
694,4
695,1
696,1
697,1
698,6
699,5
700,4
701,1
702,1
703,6
704,2
705,6
706,2
707,2
708,1
709,4
710,3
711,1
712,3
713,2
714,3
715,5
716,5
717,4
718,2
719,5
720,1
721,6
722,3
723,2
724,4
725,3
726,1
727,1
728,5
729,1
730,1
731,3
732,1
733,1
734,6
735,1
736,3
737,2
738,1
739,5
740,2
741,3
742,3
743,3
744,2
745,2
746,5
747,1
748,4
749,5
750,1
751,6
752,5
753,1
754,1
755,5
756,2
757,2
758,4
759,2
760,6
761,1
762,2
763,2
764,1
765,1
766,1
767,2
768,5
769,2
770,4
771,1
772,3
773,3
774,1
775,1
776,6
777,3
778,5
779,6
780,1
781,5
782,6
783,5
784,6
785,2
786,2
787,3
788,2
789,1
790,4
791,3
792,1
793,1
794,2
795,3
796,5
797,2
798,1
799,6
800,6
801,3
802,3
803,5
804,1
805,3
806,1
807,2
808,1
809,2
810,1
811,1
812,1
813,6
814,2
815,1
816,5
817,6
818,2
819,3
820,2
821,6
822,6
823,5
824,5
825,1
826,2
827,2
828,3
829,2
830,2
831,1
832,2
833,2
834,6
835,1
836,6
837,1
838,5
839,3
840,2
841,5
842,4
843,1
844,6
845,3
846,3
847,2
848,2
849,5
850,6
851,6
852,2
853,4
854,1
855,2
856,2
857,6
858,1
859,1
860,4
861,6
862,2
863,1
864,6
865,6
866,2
867,3
868,6
869,4
870,4
871,5
872,2
873,3
874,5
875,6
876,1
877,1
878,1
879,1
880,5
881,5
882,3
883,2
884,1
885,6
886,5
887,1
888,2
889,5
890,5
891,1
892,1
893,1
894,2
895,2
896,4
897,3
898,6
899,3
900,5
901,2
902,2
903,3
904,2
905,2
906,1
907,3
908,6
909,1
910,3
911,3
912,1
913,2
914,1
915,1
916,5
917,1
918,1
919,1
920,1
921,1
922,5
923,1
924,3
925,3
926,4
927,1
928,6
929,1
930,1
931,2
932,5
933,1
934,1
935,1
936,1
937,1
938,5
939,1
940,1
941,3
942,2
943,3
944,4
945,4
946,5
947,1
948,2
949,3
950,2
951,5
952,4
953,2
954,2
955,3
956,5
957,1
958,2
959,1
960,3
961,4
962,5
963,1
964,6
965,2
966,5
967,5
968,3
969,1
970,1
971,1
972,2
973,2
974,2
975,5
976,6
977,1
978,2
979,4
