orderId,dishId,quantity
1,74,1
1,33,1
1,30,1
1,34,1
2,37,1
2,30,1
2,23,1
3,33,1
3,37,1
3,35,1
4,32,2
4,25,1
5,21,1
5,34,1
5,22,2
5,32,1
6,25,1
6,27,1
6,29,1
7,21,1
7,32,1
7,82,1
7,22,1
8,35,1
8,24,2
8,21,1
8,29,1
9,36,1
9,25,1
9,26,1
10,25,1
10,30,3
10,29,1
10,32,1
10,28,1
11,21,1
11,31,1
11,32,1
12,37,2
12,25,1
12,31,1
12,35,1
12,68,1
13,36,1
13,34,1
13,70,1
14,31,1
14,22,1
14,82,1
15,21,1
15,25,1
15,35,2
16,29,1
16,36,1
17,37,1
17,28,1
18,21,1
18,24,1
18,32,1
19,30,2
19,31,1
19,82,1
19,23,3
20,28,1
20,72,1
20,27,1
21,41,1
21,4,1
21,65,1
21,67,1
21,16,1
22,67,1
22,65,1
22,40,1
23,60,1
23,40,2
23,4,1
24,15,1
24,60,1
25,44,1
25,84,1
25,15,2
26,43,1
26,40,2
26,44,1
27,41,1
27,67,1
28,41,1
28,15,1
28,71,1
29,60,2
29,67,1
29,43,2
30,44,3
30,60,1
31,71,2
31,16,1
31,43,1
32,65,1
32,40,1
33,41,1
33,43,2
33,40,1
33,67,2
34,15,1
34,4,1
35,15,1
35,55,2
35,4,1
36,45,1
36,15,1
36,65,1
36,55,1
37,43,1
37,60,1
37,67,1
38,55,1
38,65,1
38,44,3
39,60,1
39,41,1
39,16,1
40,60,2
40,4,1
40,16,1
41,48,1
41,47,1
41,51,2
41,49,1
42,48,1
42,61,1
42,47,2
43,49,1
43,58,1
43,61,1
43,56,1
44,23,1
44,42,1
44,41,2
45,51,1
45,52,1
46,56,1
46,50,1
47,49,1
47,81,1
47,57,2
48,50,1
48,51,1
48,52,1
48,57,1
49,46,2
49,61,1
49,48,1
49,97,1
49,58,1
50,46,1
50,50,1
50,58,2
51,48,1
51,47,3
51,17,1
52,46,1
52,57,1
52,50,1
53,97,1
53,56,2
53,47,1
53,48,1
54,97,1
54,52,1
55,61,2
55,48,1
55,50,1
56,48,1
56,98,1
57,47,1
57,52,1
57,50,1
58,57,1
58,50,1
58,61,1
59,56,2
59,97,2
60,58,1
60,57,1
60,97,1
61,41,1
61,71,2
61,44,1
62,40,1
62,41,1
63,44,1
63,15,1
63,41,1
63,60,1
63,55,1
64,67,2
64,68,1
64,45,1
65,80,1
65,55,1
66,40,1
66,37,1
66,55,2
67,60,1
67,43,1
68,3,2
68,62,1
68,13,1
68,41,1
69,60,1
69,44,1
69,45,1
69,55,1
70,41,1
70,67,1
70,16,1
71,67,1
71,55,2
71,43,1
71,71,1
72,71,3
72,4,1
73,43,2
73,71,2
74,71,1
74,65,1
74,44,1
75,60,1
75,71,2
75,40,1
76,55,1
76,71,1
77,45,1
77,44,1
77,15,1
78,65,1
78,67,1
79,67,1
79,60,1
80,67,3
80,45,1
80,44,1
81,25,1
81,11,2
81,10,3
82,10,2
82,20,2
83,10,1
83,5,1
84,9,1
84,17,1
84,77,1
85,8,2
85,12,1
85,2,1
85,19,1
86,61,2
86,18,1
86,17,1
87,19,1
87,10,1
87,17,2
88,18,1
88,3,1
88,10,1
88,19,1
88,70,1
89,7,1
89,9,1
89,1,1
90,18,2
90,14,3
91,19,1
91,70,1
91,12,1
91,6,1
92,9,1
92,2,1
92,3,1
92,18,1
93,7,1
93,43,1
93,18,1
94,2,1
94,14,1
94,9,1
94,19,1
94,6,1
95,2,2
95,18,1
95,9,1
96,1,1
96,18,1
97,11,1
97,9,2
97,7,1
98,8,3
98,14,1
98,7,1
99,9,2
99,6,1
99,10,1
100,12,1
100,20,1
101,7,1
101,10,1
101,17,2
102,5,1
102,14,1
102,1,2
103,14,1
103,3,3
103,9,1
103,2,2
103,11,1
104,17,1
104,6,2
104,11,1
105,18,2
105,2,1
106,19,1
106,5,1
106,18,1
106,20,1
106,17,2
107,10,1
107,11,3
108,52,1
108,12,2
108,3,2
108,18,1
109,5,1
109,11,1
110,38,1
110,7,1
111,10,1
111,9,1
111,11,1
112,3,1
112,19,1
112,8,1
112,6,2
113,20,1
113,35,1
113,5,1
113,11,1
113,7,1
114,8,3
114,10,1
115,20,1
115,83,1
115,11,1
116,18,1
116,13,1
116,19,1
117,20,1
117,19,1
118,3,1
118,5,1
118,18,1
119,1,1
119,18,1
119,14,1
120,5,1
120,7,1
120,11,1
120,14,1
120,17,1
121,98,1
121,48,1
122,49,1
122,51,2
122,57,1
123,58,1
