clientId,dishId,interaction
1,1,8
1,12,1
1,3,3
1,2,8
1,7,8
1,41,1
1,9,6
1,10,2
1,6,7
1,5,4
1,11,6
1,4,3
1,30,1
1,46,1
1,51,1
1,8,3
1,54,1
1,25,3
1,55,2
1,43,1
2,6,10
2,7,9
2,5,16
2,10,1
2,45,1
2,8,10
2,25,4
2,15,2
2,35,1
2,50,1
2,42,1
2,17,1
2,38,1
2,33,2
2,60,1
3,22,6
3,19,10
3,21,8
3,23,9
3,16,3
3,57,1
3,20,10
3,17,5
3,27,1
3,9,1
3,18,4
3,37,3
3,26,1
3,1,2
3,56,3
3,48,2
3,25,2
4,14,15
4,13,9
4,12,9
4,41,1
4,15,14
4,42,1
4,2,1
4,45,2
4,54,2
4,37,2
5,12,10
5,14,13
5,36,1
5,13,15
5,15,16
5,6,1
5,40,1
5,20,1
5,57,1
5,33,1
5,2,1
5,22,1
6,17,2
6,11,3
6,59,2
6,22,3
6,58,1
6,14,3
6,18,1
6,28,2
6,32,2
6,35,3
6,23,1
6,4,1
6,46,1
6,50,1
6,54,2
6,37,2
6,8,2
6,1,3
6,19,2
6,16,1
6,6,1
6,9,3
6,25,1
6,20,3
6,24,1
6,26,1
6,30,1
6,47,1
6,40,1
6,51,1
6,60,1
6,2,2
6,31,1
6,48,2
6,33,1
7,5,19
7,6,11
7,23,2
7,7,12
7,29,1
7,8,13
7,55,1
7,41,1
7,37,1
7,35,2
7,1,1
7,47,1
7,28,1
7,25,1
7,30,1
7,45,1
7,53,1
7,12,1
7,42,1
8,39,1
8,22,7
8,23,5
8,16,9
8,18,6
8,44,2
8,21,6
8,12,1
8,20,7
8,55,1
8,19,3
8,17,6
8,15,2
8,46,1
8,29,1
8,14,1
9,15,9
9,12,10
9,38,2
9,22,1
9,13,8
9,14,7
9,58,1
9,35,3
9,48,2
9,20,2
9,59,1
9,26,1
9,4,1
9,42,2
9,53,1
9,50,3
9,18,3
9,39,1
10,28,1
10,32,1
10,44,1
10,12,12
10,13,11
10,47,1
10,46,1
10,15,7
10,14,9
10,23,1
10,8,1
10,40,1
10,42,2
10,54,2
10,5,1
10,4,1
10,30,1
10,16,2
10,29,1
11,20,5
11,16,8
11,22,5
11,17,6
11,27,3
11,38,1
11,6,2
11,23,8
11,46,2
11,19,8
11,37,1
11,18,2
11,12,1
11,36,1
11,1,1
11,2,1
11,49,1
11,21,1
11,34,3
11,8,1
11,9,1
