orderId,dishId,quantity
1,21,1
1,71,1
1,26,1
2,33,1
2,2,2
3,26,2
3,25,1
3,30,1
3,22,1
3,37,1
4,23,1
4,36,1
4,35,2
5,28,1
5,32,1
6,32,1
6,37,1
6,25,1
6,26,1
7,21,1
7,31,1
8,21,1
8,82,1
9,26,1
9,25,2
9,31,1
10,33,1
10,52,1
10,26,1
11,7,3
11,23,1
11,36,1
11,32,2
12,33,1
12,30,1
12,25,1
13,25,1
13,24,1
13,30,1
14,35,1
14,25,1
14,24,1
14,21,2
14,34,1
15,30,1
15,22,1
15,43,1
16,21,1
16,32,1
16,30,1
17,25,1
17,31,1
18,29,2
18,30,1
19,23,1
19,28,1
19,32,1
19,37,2
19,26,2
21,72,1
21,93,1
21,86,1
21,38,1
22,38,2
22,86,1
23,100,1
23,53,1
24,100,2
24,54,1
24,86,1
24,73,1
24,72,1
25,73,1
25,94,1
25,53,1
26,38,1
26,78,1
26,72,1
27,54,1
27,94,3
27,38,1
28,75,1
28,100,1
28,78,2
29,75,1
29,72,1
29,54,1
29,38,1
30,78,1
30,72,1
30,39,3
31,74,1
31,94,1
31,100,3
32,100,1
32,38,1
32,93,1
33,39,1
33,75,1
33,86,1
34,93,2
34,53,1
34,54,1
34,100,2
34,74,1
35,54,1
35,39,1
35,86,1
35,100,1
35,74,1
36,54,1
36,94,1
36,100,1
37,54,2
37,100,1
37,94,1
38,72,1
38,74,1
38,86,1
38,78,1
39,74,1
39,54,2
41,49,1
41,47,1
41,50,1
42,46,3
42,52,3
42,97,1
42,61,1
43,46,1
43,58,1
43,47,1
44,47,1
44,97,1
45,47,1
45,51,1
45,46,1
45,97,1
46,49,1
46,61,2
46,50,2
46,98,2
47,97,1
47,48,1
48,51,2
48,81,3
49,50,1
49,48,1
49,58,1
49,47,1
50,52,1
50,98,1
51,2,1
51,48,1
51,81,2
52,49,1
52,61,1
52,81,1
53,97,1
53,52,1
53,61,2
53,98,1
54,58,2
54,52,1
54,98,1
54,61,1
55,81,1
55,49,1
55,48,1
55,46,1
56,49,1
56,50,1
56,51,1
56,56,3
57,98,1
57,51,1
57,47,1
58,14,1
58,56,1
58,58,2
59,97,1
59,56,1
59,49,1
59,50,1
59,52,1
61,8,1
61,9,1
62,20,1
62,7,1
63,12,2
63,20,1
63,3,2
64,5,1
64,1,1
64,20,1
65,2,1
65,12,1
65,7,1
65,3,1
66,11,1
66,13,1
66,9,1
67,17,2
67,10,1
67,13,2
67,52,1
68,3,1
68,9,3
68,5,1
69,5,1
69,13,1
70,7,1
70,11,2
70,6,1
70,5,1
71,1,2
71,8,1
71,20,1
71,12,1
72,1,2
72,3,2
72,13,1
73,7,1
73,9,1
74,20,1
74,14,1
75,8,1
75,18,1
76,17,1
76,19,1
76,2,1
77,11,1
77,18,2
77,19,1
77,6,1
77,8,1
78,14,1
78,11,1
79,5,1
79,8,1
79,78,1
79,17,1
79,19,1
81,17,3
81,14,1
82,13,1
82,17,3
82,20,3
82,14,1
82,19,1
83,18,1
83,6,1
83,10,1
83,17,1
83,14,2
84,62,2
84,10,2
84,11,1
85,7,2
85,11,1
85,10,1
86,18,2
86,1,1
86,78,1
87,3,1
87,5,2
88,14,1
88,34,1
89,18,2
89,2,1
89,9,1
90,7,1
90,17,1
90,9,1
90,12,1
90,8,1
91,2,2
91,7,2
92,1,1
92,2,1
92,3,1
92,10,1
93,11,1
93,18,1
93,10,1
93,5,1
94,18,2
94,5,1
94,7,1
94,13,2
95,10,1
95,19,1
95,1,1
96,12,2
96,20,2
96,17,2
97,11,1
97,7,1
98,6,1
98,10,3
98,18,1
99,14,1
99,78,1
99,9,1
101,10,1
101,78,1
101,14,1
101,18,1
102,11,1
102,1,1
103,5,1
103,50,2
103,8,1
104,9,1
104,14,2
104,7,1
104,74,1
105,18,1
105,7,2
105,19,1
106,34,1
106,6,1
106,41,1
107,11,2
107,19,2
107,5,1
108,17,1
108,14,1
108,9,1
108,3,1
108,19,3
109,6,1
109,9,1
109,10,1
109,12,1
110,7,1
110,14,1
110,5,2
110,13,1
111,2,2
111,1,1
111,11,1
112,3,1
112,14,2
112,6,1
113,12,1
113,7,1
113,5,1
114,18,2
114,17,1
114,19,1
115,2,1
115,20,1
115,11,1
115,19,1
115,8,2
116,3,1
116,2,1
117,14,1
117,3,1
117,2,1
118,9,1
118,17,2
118,1,2
119,6,1
119,13,1
119,69,1
121,19,1
121,14,1
121,5,1
122,1,1
122,78,1
122,18,2
123,8,1
123,10,1
123,76,1
123,19,2
124,5,1
124,7,1
124,14,1
125,18,1
125,11,1
125,14,1
125,5,1
126,9,1
126,20,2
126,12,1
127,20,1
127,7,1
127,14,1
128,20,1
128,1,1
128,5,1
128,47,1
129,3,1
